cluster_rank,cluster_id,cell_count,primary_lnrs_name,lnrs_names,lnrs_count,scenario_score_max,scenario_score_mean,habitat_share_mean,connectivity_mean,restoration_mean,agri_mean,centroid_easting_m,centroid_northing_m
1,cluster_10,6,,,,67.04,64.38,3.32,96.69,93.43,86.67,472315.33,407924.83
2,cluster_05,5,,,,66.99,64.23,0.42,95.31,94.9,80.0,347107.0,141830.2
3,cluster_01,31,,,,66.93,64.1,9.89,98.03,88.25,94.84,241808.61,76529.94
4,cluster_02,17,,,,64.91,63.17,3.31,97.18,93.93,100.0,277048.18,138804.29
5,cluster_07,8,,,,64.22,63.04,9.72,98.32,88.73,100.0,394107.0,581077.0
6,cluster_03,17,,,,64.03,62.7,9.32,96.73,87.51,97.65,380680.53,443564.35
7,cluster_08,7,,,,63.68,62.76,7.91,96.33,88.48,78.57,564142.71,276130.86
8,cluster_09,4,,,,63.67,63.04,3.35,93.05,89.72,80.0,637923.75,299706.75
9,cluster_11,2,,,,63.35,62.88,3.13,97.82,94.74,100.0,486232.0,493605.5
10,cluster_06,2,,,,63.24,63.11,7.3,98.56,91.29,80.0,362482.0,327584.5
11,cluster_04,1,,,,62.12,62.12,0.0,81.52,81.52,100.0,315107.0,546853.0
