cluster_rank,cluster_id,cell_count,scenario_score_max,scenario_score_mean,habitat_share_mean,connectivity_mean,restoration_mean,agri_mean,centroid_easting_m,centroid_northing_m
1,cluster_02,7,57.98,57.5,19.17,99.16,80.15,100.0,251214.14,87925.57
2,cluster_05,63,57.95,57.47,18.59,99.08,80.66,100.0,385126.81,519274.49
3,cluster_04,8,57.78,57.54,18.73,99.21,80.63,100.0,327107.0,281438.5
4,cluster_10,1,57.69,57.69,19.88,98.97,79.29,100.0,597847.0,172949.0
5,cluster_08,7,57.66,57.44,17.93,99.54,81.69,100.0,412142.71,376609.14
6,cluster_03,6,57.66,57.49,18.9,98.81,80.14,100.0,275857.0,135335.67
7,cluster_06,4,57.57,57.45,18.4,98.92,80.72,100.0,412871.5,99536.0
8,cluster_01,2,57.41,57.3,17.58,98.86,81.48,100.0,210732.0,68058.0
9,cluster_07,1,57.33,57.33,20.47,99.05,78.77,100.0,388857.0,202368.0
10,cluster_09,1,57.3,57.3,16.78,99.25,82.59,100.0,478107.0,132882.0
